incident_date,city,state,description,plan,citatation
8/10/2015,columbus,oh,Worker struck and killed by tractor trailer.,unknown,unknown
8/9/2015,selah,wa,Worker killed in fall down stairs.,unknown,unknown
8/9/2015,compton,ca,Worker killed in plane crash.,unknown,unknown
8/8/2015,auburn,ca,Worker killed when ATV rolled over.,unknown,unknown
8/8/2015,lutz,fl,Worker conducting food prep killed in fall.,unknown,unknown
8/7/2015,elizabeth,nj,Worker struck and killed by top loader. ,unknown,unknown
8/7/2015,carmi,il,One worker electrocuted another hospitalized when ladder contacted power line.  ,unknown,unknown
8/7/2015,la verne,ca,Worker on roof died from overexposure to heat.  ,unknown,unknown
8/7/2015,beloit,wi,Worker struck and killed by vehicle during maintenance.,unknown,unknown
8/7/2015,chocowinity,nc,Worker struck and killed by large waste container.,unknown,unknown
8/7/2015,barre,vt,Worker fatally shot by client.,unknown,unknown
8/6/2015,maple grove,mn,Worker mowing grass choked on low-lying tree.,unknown,unknown
8/6/2015,sun valley,ca,Worker struck and killed by truck.,unknown,unknown
8/5/2015,belle plaine,mn,Worker drowned afer falling into waste water.  ,unknown,unknown
8/5/2015,waycross,ga,Worker struck and killed by silo door.,unknown,unknown
8/5/2015,north fork,ca,Worker struck and killed by log while building corral.,unknown,unknown
8/4/2015,columbus,oh,Worker struck and killed by dump truck tailgate.,unknown,unknown
8/4/2015,roaring branch,pa,Worker killed when bulldozer flipped and tumbled down mountain slope.,unknown,unknown
8/4/2015,middlefield,oh,Worker killed in trench collapse. ,unknown,unknown
8/4/2015,paragould,ar,Worker fatally crushed between truck and dock.,unknown,unknown
8/3/2015,las vegas,nv,Worker on bicycle killed in motor vehicle collision.,unknown,unknown
8/3/2015,auburn,ca,Worker killed in fall from lumber bale.,unknown,unknown
8/3/2015,riverside,ca,Worker fatally stung by bees.,unknown,unknown
8/1/2015,las vegas,nv,Worker killed in fall through skylight.,unknown,unknown
8/1/2015,louisville,oh,Worker killed in motor vehicle collision.,unknown,unknown
7/31/2015,longmeadow,ma,Worker drowned after falling into water-filled excavation.,unknown,unknown
7/31/2015,harrison,ar,Worker killed after getting caught in rotating shaft,unknown,unknown
7/31/2015,chatham,ny,Worker killed when hydraulic boom collapsed.,unknown,unknown
7/31/2015,new braunfels,tx,Worker fatally crushed by roof structure during demolition. ,unknown,unknown
7/31/2015,santa maria,ca,Worker loading car from tow truck fatally crushed by vehicle.,unknown,unknown
7/31/2015,canyon,tx,Worker killed in explosion prior to fireworks show.,unknown,unknown
7/30/2015,riverside,ca,Worker killed in fall while trimming palm tree.,unknown,unknown
7/30/2015,van nuys,ca,Worker electrocted while performing electrical work.,unknown,unknown
7/30/2015,alpine,ca,Worker struck and killed by heavy equipment.,unknown,unknown
7/30/2015,eagles mountain,ut,Worker killed in fall from scaffolding.,unknown,unknown
7/29/2015,davenport,ia,Worker killed after being pulled through wood chipping machine.,unknown,unknown
7/29/2015,leonard,mi,Worker killed when aerial lift overturned.,unknown,unknown
7/29/2015,lawrenceville,va,Worker electrocuted by pump station electrical box.,unknown,unknown
7/29/2015,rocky mount,va,Worker struck and killed by log.,unknown,unknown
